method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,seed
starbeast,0,0.1069920354957213,0.1341848431923787,1.0073834654931688,537.7166523893178,0.95,0.13167776695820865,0.13661401287850522,False,0.13179025262807645,0.13671789315437827,False,seed165
ecoevolity,0,0.0005873342724433246,8.185878299889287e-05,1.0158445536954208,157.4875841984555,0.95,3.938745961467733e-05,0.00013560777952716975,False,3.684312107452973e-05,0.00013177638116832765,False,seed135
starbeast,0,0.0005873342724433246,0.0006384266606364751,1.050216291416516,252.08149710834857,0.95,0.0005231661706765633,0.0007606046054374651,True,0.0005221134839207475,0.0007588712156447624,True,seed135
ecoevolity,0,0.017267192053436485,0.035062547801663624,0.9998297075066318,4000.0,0.95,0.03267127019117152,0.03681309190186144,False,0.03302645812364933,0.037011450792764265,False,seed115
starbeast,0,0.017267192053436485,0.0303050785785499,1.0075471185534894,664.1628986933375,0.95,0.028523514642536937,0.03200901245485892,False,0.028502673918481363,0.03197872243280333,False,seed115
ecoevolity,0,0.12025254813988802,0.14487349984190212,0.9995943275931212,3372.72300196282,0.95,0.14190363051617005,0.14759648401893655,False,0.14207311909744122,0.14772281534039874,False,seed75
starbeast,0,0.12025254813988802,0.1453559879428414,0.9999840302535592,709.5443423365966,0.95,0.14274261348305398,0.14790708944984785,False,0.14291461504943972,0.14803541415831126,False,seed75
ecoevolity,0,0.013129066441138771,0.01806460675229668,1.000953891243936,3534.4240461157115,0.95,0.015814550405505137,0.019620472375498226,False,0.01614692596522449,0.019766765825625685,False,seed56
starbeast,0,0.013129066441138771,0.019197436440513704,1.0114229105156722,295.0023514795288,0.95,0.01826901067542433,0.020088094686720438,False,0.01830273940231863,0.02011147422834394,False,seed56
ecoevolity,0,0.0008432336070034028,0.0006877439858147716,1.0012409079491802,624.6430819255829,0.95,0.0004966667295702464,0.0008862893976845443,True,0.0004901469117009424,0.0008756412558110909,True,seed104
starbeast,0,0.0008432336070034028,0.0009193304243271454,1.0004371885053407,399.2064465009064,0.95,0.0007671380062520094,0.0010714486617810024,True,0.0007637840019918558,0.0010676341959723892,True,seed104
ecoevolity,0,0.030315648089651467,0.04055836903676939,1.0001078499852616,3711.767514044413,0.95,0.038378476076494035,0.04224558219559184,False,0.0386067187671852,0.04235627447079597,False,seed53
starbeast,0,0.030315648089651467,0.04148875825940612,1.0009019744864542,649.1100221614664,0.95,0.040371132811175665,0.04264287381736133,False,0.04040693317353671,0.042671769544253176,False,seed53
ecoevolity,0,0.018418326792873457,0.030613173251144838,1.0009149556051842,4000.0,0.95,0.028461748678538942,0.03222897521461208,False,0.028785790654809257,0.03246226988716072,False,seed2
starbeast,0,0.018418326792873457,0.03146732506774507,1.0002466868919335,464.84521309970904,0.95,0.03026380392094837,0.032565851488221303,False,0.030287151196952456,0.0325805601306918,False,seed2
ecoevolity,0,0.025374372658092875,0.04115185395179383,1.0002000728854532,4000.0,0.95,0.038920194039975375,0.04285569367160876,False,0.039076794574242124,0.042934234141316106,False,seed164
starbeast,0,0.025374372658092875,0.04205040597167159,1.0003616787063478,448.38048823487145,0.95,0.0407400888362792,0.043284355356504836,False,0.04074497298450465,0.04328501020936355,False,seed164
ecoevolity,0,0.00574373215979265,0.005696833339847081,0.9996624729721776,4000.0,0.95,0.004939547456206274,0.0065451700538006535,True,0.004901383560993228,0.006490528982387842,True,seed119
starbeast,0,0.00574373215979265,0.006920303517479388,0.9998724537300002,851.9684220787027,0.95,0.0062565620568781405,0.007584469758714141,False,0.006260557372248226,0.0075853787670371285,False,seed119
ecoevolity,0,0.07181954448916497,0.08828035625908214,0.9997809426156862,2924.1844336540416,0.95,0.08568392651296387,0.0904870479371894,False,0.0858988844451611,0.09060077572793168,False,seed92
starbeast,0,0.07181954448916497,0.08888100048743419,1.000344852776858,433.80516741638985,0.95,0.08693174411670439,0.0907640435785088,False,0.0868796197697434,0.09068415779061592,False,seed92
ecoevolity,0,0.04387224342653781,0.0568582495110587,1.0002146726769297,3899.833164892544,0.95,0.05454302838750797,0.058707223732331774,False,0.0546168721431024,0.05876008569830014,False,seed179
starbeast,0,0.04387224342653781,0.057522150764575376,1.0012665622181047,478.3806670885295,0.95,0.0560403899866699,0.058938148267426514,False,0.0560812585842874,0.058962987230340165,False,seed179
ecoevolity,0,0.02211369988441503,0.034723946287649785,0.9999110222386294,4000.0,0.95,0.032524551674708316,0.036357907618726114,False,0.03266602835116239,0.036424166438952785,False,seed61
starbeast,0,0.02211369988441503,0.03314004492484651,1.0041516404849091,768.9492179839382,0.95,0.03168269648798965,0.03459618219885899,False,0.03165107678475844,0.034551628674669016,False,seed61
ecoevolity,0,0.0016223287375628404,0.002565180598432368,0.999686618549591,4000.0,0.95,0.002346426128669589,0.002788197853590553,False,0.002350078265102769,0.002790267225397891,False,seed182
starbeast,0,0.0016223287375628404,0.0020070051666220817,0.9998709772615356,681.6931000896168,0.95,0.0018235215673090813,0.0021985119647377066,False,0.001821775232639011,0.002194880610283229,False,seed182
ecoevolity,0,0.04293770518100263,0.05728525266858956,1.000004439747319,4000.0,0.95,0.05497114408591658,0.059177920505298125,False,0.055178913740782896,0.05930293848531131,False,seed90
starbeast,0,0.04293770518100263,0.058125772960859426,1.005019101308284,564.3711154951612,0.95,0.05666564111837486,0.05954763414960192,False,0.05672676514750919,0.05958939094936975,False,seed90
ecoevolity,0,0.1651333032390954,0.20186923263018824,1.0000792165464978,4000.0,0.95,0.19821406829477056,0.20545049547306266,False,0.19814118733285807,0.2052976325421152,False,seed21
starbeast,0,0.1651333032390954,0.20215899111565194,0.9998695707991864,941.661744851616,0.95,0.1987787741601406,0.20546123267125324,False,0.1987683092099368,0.20541969657439035,False,seed21
ecoevolity,0,0.09813818882419977,0.11966061717178693,0.9997149319502768,4000.0,0.95,0.1168346407625045,0.12220297319799135,False,0.11684786542573745,0.1222087289869035,False,seed168
starbeast,0,0.09813818882419977,0.12022830206819338,1.0132354238458654,771.9444022799457,0.95,0.11803528617753528,0.1224287374425861,False,0.1180584564772472,0.12243174813053916,False,seed168
ecoevolity,0,0.12417819354990575,0.15843056028620206,0.9997153995047654,4000.0,0.95,0.15529603911690848,0.16131443838277518,False,0.1553307242559262,0.16134520898253574,False,seed109
starbeast,0,0.12417819354990575,0.1587880250767143,1.0019136313280097,732.3381590979183,0.95,0.15598660824663496,0.1615391490544063,False,0.15606590228572445,0.16159578283842058,False,seed109
ecoevolity,0,0.06118926569722565,0.07777322927200954,0.9997534141187536,4000.0,0.95,0.07534835367756422,0.07974358985065434,False,0.07550248096114474,0.07983519242863941,False,seed24
starbeast,0,0.06118926569722565,0.07835470631590925,0.999870292844774,528.128188358074,0.95,0.07656741809846977,0.08005013916714142,False,0.07663092315928975,0.08009637094881407,False,seed24
ecoevolity,0,0.042046316448164534,0.05610845015555599,0.9997839570864712,4000.0,0.95,0.05367728289443966,0.05800768929430511,False,0.05386031810735012,0.058080515793791636,False,seed44
starbeast,0,0.042046316448164534,0.056870818223049326,1.0001519728694752,623.2216012131224,0.95,0.055442248725543125,0.05822628105749009,False,0.055533918551804264,0.058297581412906474,False,seed44
ecoevolity,0,0.0177939608661944,0.02205894454743604,0.9998575371555601,2402.287283992778,0.95,0.0191461110842626,0.023821929447152945,False,0.019612963190785183,0.024049361583150453,False,seed108
starbeast,0,0.0177939608661944,0.02280661036127732,1.00516586187114,379.2125581430016,0.95,0.021731803810102642,0.023859803648339298,False,0.021780704237257247,0.02390230020517508,False,seed108
ecoevolity,0,0.01620252017260412,0.02269769129084146,1.000937632498036,2090.960678258336,0.95,0.019758520030350883,0.024459720478918343,False,0.020327060850657698,0.024757316146179768,False,seed41
starbeast,0,0.01620252017260412,0.02360905009137897,1.0039248696696097,355.19436840255713,0.95,0.022514731411122573,0.024636054189743798,False,0.02251166300567024,0.024628250677199558,False,seed41
ecoevolity,0,0.0621548010326831,0.07911382366551213,0.9995856223139372,4000.0,0.95,0.07652904808260874,0.08118601656108766,False,0.07685184744512899,0.08135597882019545,False,seed31
starbeast,0,0.0621548010326831,0.07992331061062859,1.01399195748761,572.9981872521437,0.95,0.07821990318865109,0.0816163497990222,False,0.07822774313412269,0.0816171238701351,False,seed31
ecoevolity,0,0.01826623143429592,0.03303622971956035,1.0003490603353895,4000.0,0.95,0.030777734159972262,0.03466562435162548,False,0.031133770510586682,0.03491840237574068,False,seed125
starbeast,0,0.01826623143429592,0.03362432724858836,1.0071072193734796,440.90981993769026,0.95,0.03226473409171705,0.03483493040596085,False,0.03232735740700805,0.03486914964231992,False,seed125
ecoevolity,0,0.00150933164830626,0.001256935162577082,1.0009462071755386,1660.8726182461105,0.95,0.0010259394842117313,0.0014979265020861991,False,0.0010182206583723057,0.0014879317551952243,False,seed79
starbeast,0,0.00150933164830626,0.0017602352345631356,1.0052837020928742,725.3861528582611,0.95,0.0015465577679355234,0.001984739401524465,False,0.0015465577679355234,0.001984070170630961,False,seed79
ecoevolity,0,0.014733044058246606,0.01635124762799298,1.0295569789371966,189.53377577567298,0.95,0.01159704035709185,0.023902048242885943,True,0.01169435298508978,0.023963974012842386,True,seed199
starbeast,0,0.014733044058246606,0.021066321777742016,1.0056831726165743,767.5376404961683,0.95,0.019900714430175426,0.02216395992601279,False,0.019921265270172156,0.022179181678753192,False,seed199
ecoevolity,0,0.004464248575246578,0.007312298373887995,1.0001169126835832,2776.203913937953,0.95,0.006129118399120784,0.008713041342526416,False,0.00602575861133668,0.008579595588575,False,seed190
starbeast,0,0.004464248575246578,0.005397882233192656,1.0004571456478537,1132.5786704364225,0.95,0.004722132042261068,0.006096686349902664,False,0.004733384170996398,0.006099445411461352,False,seed190
ecoevolity,0,0.015098544068477162,0.020026244373600528,1.0012708171823967,3049.646745532325,0.95,0.0174762529984689,0.02169154164826732,False,0.01780756805487856,0.021839835569471267,False,seed82
starbeast,0,0.015098544068477162,0.0208508923432588,1.0072255407222095,283.4170805241156,0.95,0.019771913396007732,0.02185238906426828,False,0.019839814255327343,0.02191291008562608,False,seed82
ecoevolity,0,0.08740315428429389,0.1052613860678214,0.999841531738756,3755.005695330327,0.95,0.10263920033344867,0.1075341424794782,False,0.10277449873365244,0.10759897335622004,False,seed65
starbeast,0,0.08740315428429389,0.10565276731484058,0.9998864613056699,534.380777661269,0.95,0.10359332870238497,0.10770348284145112,False,0.1035816211404386,0.1076715754988819,False,seed65
ecoevolity,0,0.06817144902470539,0.08765536448967823,1.000663522130431,3921.999872071177,0.95,0.08511318672883643,0.08986775935784086,False,0.08530044315965392,0.09001133264405196,False,seed174
