method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,seed
starbeast,0,0.04860148045762398,0.03487174586923592,0.9998718378308608,590.0019414745748,0.95,0.033750202997944685,0.03591309456114114,False,0.03374368232879548,0.035902894874538016,False,seed59
ecoevolity,0,0.005825009627135936,0.0019314114290083933,1.0000604317577482,3638.5415357647453,0.95,0.0013346341529977242,0.002587281808616492,False,0.0013337802478539614,0.002581710335265115,False,seed100
starbeast,0,0.005825009627135936,0.002646728526938222,0.9998692296783028,525.3529751285218,0.95,0.0023458833253427675,0.0029405480929888873,False,0.0023450322835700545,0.002936540582532285,False,seed100
ecoevolity,0,0.07917883408634399,0.059642370392832426,1.000365993229527,4000.0,0.95,0.0571604579535965,0.06154003364123019,False,0.05736011036665652,0.061655552246622586,False,seed69
starbeast,0,0.07917883408634399,0.060741661428964526,1.0091483200710554,610.8715772653032,0.95,0.05925228568154998,0.062146906202883025,False,0.059259075253059165,0.0621489800409185,False,seed69
ecoevolity,0,0.4053595894302989,0.31801985780969044,1.001425379377209,3783.182585489485,0.95,0.31229147467069845,0.3238902553329549,False,0.3124562208891841,0.3239783295281832,False,seed77
starbeast,0,0.4053595894302989,0.31845530929880284,1.0003348973409814,2405.2248205948067,0.95,0.31288246665825403,0.3239773761739029,False,0.3129818533211753,0.32401354629670504,False,seed77
ecoevolity,0,0.043938439807589096,0.03076122205589066,0.9996564378158914,3364.8301921571633,0.95,0.02846500163046149,0.03247742358252244,False,0.02878041621144489,0.032681341143980684,False,seed19
starbeast,0,0.043938439807589096,0.031972420373413905,1.0121079907189103,508.3681706325335,0.95,0.030931833193338518,0.03297700752717959,False,0.030952824217871787,0.03298942252691703,False,seed19
ecoevolity,0,0.031671502230210584,0.020052865692125436,1.0000992361540402,4000.0,0.95,0.017838134189669418,0.02158555214713041,False,0.018188379789233284,0.021793687923555568,False,seed68
starbeast,0,0.031671502230210584,0.02138725447512242,1.0002702810519437,552.7507260693802,0.95,0.020522135177882685,0.02220408081937469,False,0.020539654175594318,0.022212655566672915,False,seed68
ecoevolity,0,0.038662825622956525,0.02671067684218981,1.0000606213626122,3541.3276967775155,0.95,0.024522882564487973,0.02832900296856345,False,0.02473343109107067,0.028460154783098983,False,seed50
starbeast,0,0.038662825622956525,0.027997484946908142,1.0001243832979916,642.8544439916201,0.95,0.027030058848222432,0.02890033086896932,False,0.027082263751862123,0.0289340756720518,False,seed50
ecoevolity,0,0.0065008503500705245,0.0024882965820989906,0.9998830322067654,3068.811801770506,0.95,0.0017877992260962716,0.0031789689882117888,False,0.0018250823065142216,0.003204669265513548,False,seed103
starbeast,0,0.0065008503500705245,0.0032498103369902405,0.9998928597769144,584.3531833155567,0.95,0.0029326796892787266,0.003558799058314685,False,0.002945533361908185,0.003568909219225356,False,seed103
ecoevolity,0,0.01150234077487663,0.005375387791449179,1.0010235383319157,3481.1547133309887,0.95,0.003617682408556922,0.006713725086316975,False,0.003709970327011444,0.0067811955464268615,False,seed163
starbeast,0,0.01150234077487663,0.0068697493230745355,1.0016739524191125,481.5353925108167,0.95,0.006375478831807046,0.007332941131758995,False,0.0064065044145837574,0.007355508111218745,False,seed163
ecoevolity,0,0.10800737476310254,0.08635923501552148,1.000691667029726,4000.0,0.95,0.08368571632452107,0.08863611131152736,False,0.0839811086730061,0.08881829015116452,False,seed156
starbeast,0,0.10800737476310254,0.08725218316585498,1.0020536260303463,809.6150625368498,0.95,0.08547581929346862,0.08903623503375117,False,0.08547200261389226,0.08901893538950319,False,seed156
ecoevolity,0,0.01099696569794136,0.004715622710685428,1.0006728908154623,2816.2779662357348,0.95,0.003085560705681379,0.005999851719925308,False,0.003204259813589345,0.006081319466882218,False,seed198
starbeast,0,0.01099696569794136,0.006122148600849104,0.9998738998982556,739.2445149320607,0.95,0.005670883676534063,0.0065486607630133396,False,0.005692892153536026,0.006565109709709759,False,seed198
ecoevolity,0,0.0679479824095107,0.0505505497393103,0.9996263020739616,3286.297502632337,0.95,0.048264986378763725,0.0523537630577938,False,0.048469207644698,0.05244235879537434,False,seed167
starbeast,0,0.0679479824095107,0.0515938984517943,1.0012173049126418,666.5989141073901,0.95,0.0502539035509116,0.052880728708946334,False,0.05024666952489034,0.05286221820615306,False,seed167
ecoevolity,0,0.16836556153474888,0.13674855614371273,0.9996648692979074,4000.0,0.95,0.1337956453371806,0.1393683291043052,False,0.13406031276640448,0.13961164723559052,False,seed6
starbeast,0,0.16836556153474888,0.13741613887345006,1.0022932182175577,824.3704184842841,0.95,0.13497244081664975,0.13985693617871398,False,0.13498037812610655,0.13985693617871398,False,seed6
ecoevolity,0,0.022509389671227537,0.01370234255662032,0.999642838374088,3071.731454430197,0.95,0.011579995615700521,0.015217789246072418,False,0.011738779017656924,0.01532530383359373,False,seed112
starbeast,0,0.022509389671227537,0.015114524241065557,1.0031928379016801,564.5282221927205,0.95,0.014403142376041771,0.015798657965601974,False,0.014400298598320191,0.015788396034033182,False,seed112
ecoevolity,0,0.021205250654935625,0.01358046701498877,0.9999342236019008,3776.861687632765,0.95,0.011395714236668176,0.015091181959100591,False,0.01170089605827548,0.015247117164936827,False,seed22
starbeast,0,0.021205250654935625,0.014945260710549097,1.0024570224130065,505.75101517274965,0.95,0.014246444888846087,0.015666152994928018,False,0.014223171434486594,0.015632802515911988,False,seed22
ecoevolity,0,0.001971816208729058,0.0007737965018008444,1.0012534778762456,2903.8872987551167,0.95,0.000581669108728388,0.0009651071248966037,False,0.0005925173702782691,0.0009727230706495588,False,seed142
starbeast,0,0.001971816208729058,0.0008347690638606713,1.0020950884030004,253.67192772046607,0.95,0.0006761169764091683,0.0009902723656202348,False,0.0006778468424600323,0.0009908251381574305,False,seed142
ecoevolity,0,0.014578663852439904,0.00802891615576047,0.9996490065141292,3126.512934098388,0.95,0.00589357945849709,0.009495491250427965,False,0.006179994270046224,0.00961929484042838,False,seed27
starbeast,0,0.014578663852439904,0.009506065746094644,1.0040850507127954,599.3721192964744,0.95,0.00895255527158957,0.010040863573238223,False,0.008954035730135758,0.010041166991541036,False,seed27
ecoevolity,0,0.007305129653104886,0.0027224474309351385,1.0008479624310005,2216.349545838928,0.95,0.0016459118956795133,0.0037337819990374654,False,0.0016320551853832516,0.0037001758401163493,False,seed180
starbeast,0,0.007305129653104886,0.003944066600472189,1.00121758847331,536.7358096603382,0.95,0.0035683486932459626,0.004290067836242289,False,0.003567325274293246,0.0042874366528795685,False,seed180
ecoevolity,0,0.07925744497913717,0.062278711988093385,1.0005260802482487,3469.9558758706416,0.95,0.059919199053538576,0.0642028692290302,False,0.0600480371617972,0.06427780079281332,False,seed47
starbeast,0,0.07925744497913717,0.06328122811167683,1.0053724459425877,631.1848708379962,0.95,0.061728933080455524,0.06472616427063266,False,0.06182244054727864,0.06480851657798256,False,seed47
ecoevolity,0,0.023062297068882347,0.013813210048403034,0.9999875778959204,3606.5573756105027,0.95,0.01148829094853542,0.015339051415675462,False,0.01180959743301865,0.01548860344600979,False,seed151
starbeast,0,0.023062297068882347,0.015179355459124569,1.0016903039362144,514.1684654643586,0.95,0.014464549298948746,0.015875148258928086,False,0.014495348813471082,0.015895107417835952,False,seed151
ecoevolity,0,0.007470201485150377,0.0035470226467331795,1.0003134467545531,3326.1729694939313,0.95,0.0026353526301074147,0.0043838935687734466,False,0.0026467665355818645,0.00438771275711472,False,seed143
starbeast,0,0.007470201485150377,0.004413643648500484,0.9999118765440116,717.6006099352461,0.95,0.004035174089636235,0.004768533164190229,False,0.0040293177188249416,0.004759737555067336,False,seed143
ecoevolity,0,0.01272533915524308,0.0064796718732740574,0.9996988899309308,2415.411347315408,0.95,0.004664138424160358,0.007800378309591756,False,0.004818953000146937,0.00788334686376953,False,seed129
starbeast,0,0.01272533915524308,0.007863968818653073,1.0012636313064889,587.6745746067289,0.95,0.007351745308562219,0.008352127091457011,False,0.0073672435006691545,0.00835854733411561,False,seed129
ecoevolity,0,0.024831341562759582,0.017014957340561146,0.9996156639653732,4000.0,0.95,0.01485597242516354,0.01856369036399112,False,0.015170143837532075,0.018744460462860903,False,seed93
starbeast,0,0.024831341562759582,0.01832010439820084,1.0055149605891895,456.83827392365686,0.95,0.01754856846336066,0.019063515177486157,False,0.017600840806878078,0.019101827716266763,False,seed93
ecoevolity,0,0.03747113109494751,0.02582641269784704,0.9997507682080936,4000.0,0.95,0.023721307105831268,0.02739792195102117,False,0.023856013928208263,0.027468236996962644,False,seed33
starbeast,0,0.03747113109494751,0.02706049467179735,1.0000890974701289,535.6120261568503,0.95,0.0261243060401636,0.02797559144302148,False,0.026170150685221175,0.028007688555280425,False,seed33
ecoevolity,0,0.07111260453672201,0.052608152392303764,0.999800574521621,3600.6402977150647,0.95,0.05025569916173535,0.05450083832493958,False,0.05042466494829116,0.05462909581792216,False,seed158
starbeast,0,0.07111260453672201,0.05365398031457322,1.0012139862462135,691.2913534092613,0.95,0.05225423428534343,0.054985486121415884,False,0.05229439881556409,0.055009523568107614,False,seed158
ecoevolity,0,0.05982628281515419,0.044450648036145055,0.9999126956216822,2976.201456842092,0.95,0.04211924597476928,0.046174461951683815,False,0.04237042032607548,0.04631067278467672,False,seed191
starbeast,0,0.05982628281515419,0.04554226550973738,1.0001538319954084,788.7808297360747,0.95,0.044348465718780185,0.04669340661357256,False,0.04438005368686037,0.04672107988901877,False,seed191
ecoevolity,0,0.03861235479482668,0.02656125810768125,0.9996391887625108,4000.0,0.95,0.024437959102435042,0.02816721018004505,False,0.02468438722814949,0.028330277699666024,False,seed46
starbeast,0,0.03861235479482668,0.027863041200973854,0.9998689489069508,461.23740780844213,0.95,0.02690082072610013,0.028802878470277925,False,0.026869454510087504,0.028766648747492383,False,seed46
ecoevolity,0,0.01895824455667031,0.01125970132111422,0.999723938095704,2748.174705440449,0.95,0.009163504694823271,0.012735326597204449,False,0.009386873311031605,0.012848455782361679,False,seed196
starbeast,0,0.01895824455667031,0.012710341742538808,0.9999905443195816,594.5358693709353,0.95,0.012074466233712569,0.013328878956714044,False,0.01208747276817565,0.013337862189703405,False,seed196
ecoevolity,0,0.0870421528870533,0.068049007586042,0.9998115421151204,4000.0,0.95,0.06557323494353272,0.06999494073214704,False,0.06580251172629784,0.07015007009759236,False,seed172
starbeast,0,0.0870421528870533,0.06895692694569892,1.0047423137017188,771.7649661491264,0.95,0.06740633408015417,0.07049487535228707,False,0.06738483488101389,0.07045922380392662,False,seed172
ecoevolity,0,0.034362352521569856,0.023028082506345623,0.9999841201146042,3999.891347338891,0.95,0.020899418843211826,0.02459905383124243,False,0.021101863488976132,0.024727403902435455,False,seed144
starbeast,0,0.034362352521569856,0.024351758948559118,1.0029918887804854,749.5370055929237,0.95,0.023493142706263175,0.02517693017245699,False,0.02351782835132389,0.025194374866891564,False,seed144
ecoevolity,0,0.05385435595979311,0.03998798881090519,1.0005645565180472,4000.0,0.95,0.037842138106851726,0.04166793948516825,False,0.0380102819334556,0.04173604455606349,False,seed63
starbeast,0,0.05385435595979311,0.04109584234512122,1.0010795692650525,594.4410388598714,0.95,0.0399009220288542,0.042196474811205614,False,0.03989844709284647,0.04219081132254387,False,seed63
ecoevolity,0,0.00904463554546958,0.004026361879944416,0.999848350612244,3402.134028755835,0.95,0.002854815754567881,0.005061915876536999,False,0.0029087019359786736,0.0050951934342063285,False,seed124
starbeast,0,0.00904463554546958,0.005157233793779964,1.0204091117350658,515.2695357024694,0.95,0.0047378574964271536,0.0055488363613005,False,0.004729676465647646,0.0055365475425215895,False,seed124
ecoevolity,0,0.06983861207926988,0.053999079866738096,1.0001812815303506,4000.0,0.95,0.05163187464194556,0.05590073020105377,False,0.051948160954332336,0.056107237443075816,False,seed76
starbeast,0,0.06983861207926988,0.05504357209398431,1.0043061866578966,697.7436648344373,0.95,0.05368721946987521,0.056378093363362414,False,0.053701914921913535,0.056381250072972136,False,seed76
ecoevolity,0,0.17133859497065504,0.13871714426803985,1.00038180820293,4000.0,0.95,0.13569237560087932,0.1415337409722768,False,0.1360124061411686,0.1417577438070886,False,seed116
starbeast,0,0.17133859497065504,0.13942123697466335,0.9998779909618531,941.2434541034568,0.95,0.13690254333534813,0.1418476041417999,False,0.1369275303029916,0.14185718578104758,False,seed116
ecoevolity,0,0.05623978873756945,0.04120063389929917,0.9997299755950184,3836.2557627422693,0.95,0.038847640286259866,0.042939757829487314,False,0.039088881691006334,0.04307199695449503,False,seed70
starbeast,0,0.05623978873756945,0.04238675225885006,1.0002822718858193,689.5400314500395,0.95,0.04118087749072173,0.04352168412714739,False,0.041254601098235213,0.04358081894493042,False,seed70
ecoevolity,0,0.11494223892743713,0.09192664580424056,0.9997743388164779,4000.0,0.95,0.08930586535532099,0.09419156145982246,False,0.08949562659789166,0.09437292630737903,False,seed139
starbeast,0,0.11494223892743713,0.09277931214676396,1.0014698618031783,821.6190586559977,0.95,0.09094687816196816,0.0946087220685388,False,0.09097446074932622,0.09462766570662663,False,seed139
ecoevolity,0,0.10257518552969706,0.08051089238100688,0.9998255744484622,4000.0,0.95,0.07796285898805752,0.08259485285592183,False,0.0780817722254583,0.08264876001691132,False,seed175
starbeast,0,0.10257518552969706,0.08135888924421113,1.0019423866667985,734.9261790183538,0.95,0.07963224206927047,0.08304446046779472,False,0.07963943674902764,0.08304731277490186,False,seed175
ecoevolity,0,0.08242464997881818,0.06383197312828183,1.00068891990814,3849.7057541219438,0.95,0.06140565001351352,0.06575425330969424,False,0.0617538690354708,0.06604639397942376,False,seed45
starbeast,0,0.08242464997881818,0.06474282417721651,1.001745283463361,764.9857549152399,0.95,0.06325343462942523,0.06619021427312251,False,0.06325343462942523,0.06618942503455716,False,seed45
ecoevolity,0,0.07177612834070635,0.0548547831290758,0.999901208981521,3166.6378785965217,0.95,0.052508496378147536,0.056666755257724175,False,0.052737139592528175,0.056832573860874994,False,seed40
starbeast,0,0.07177612834070635,0.055832334079948934,1.0019188446599427,549.2847087794414,0.95,0.05442757538836796,0.057232327806635924,False,0.054490032848744194,0.05728127004072168,False,seed40
ecoevolity,0,0.0004898386416460741,0.0001323309248155447,0.9995772473516492,3570.8872534399834,0.95,8.731073735285591e-05,0.00018502631698687528,False,8.500604005027116e-05,0.00018135892314561709,False,seed189
starbeast,0,0.0004898386416460741,0.00015070378465412544,1.0339805257423975,151.08886092387488,0.95,0.00010288877788244748,0.00020192961548705458,False,0.00010469168349650888,0.00020310991345756256,False,seed189
ecoevolity,0,0.12931051002569605,0.10331822651842262,1.0006605662236656,3752.490562743405,0.95,0.1006379026092722,0.10564671312428332,False,0.1007775954134668,0.10570209853832316,False,seed161
starbeast,0,0.12931051002569605,0.104031345759287,1.0012953568394964,958.4547462588004,0.95,0.1020562291740886,0.10599426093014032,False,0.102084460027066,0.1060157585716596,False,seed161
ecoevolity,0,0.005352347625996032,0.002162911507383985,1.000001341997396,3803.121269494981,0.95,0.001679677085278956,0.0026566198807615885,False,0.0016871830671323716,0.0026588106726505058,False,seed20
starbeast,0,0.005352347625996032,0.00259837200132286,1.0057003183206328,427.2151175388803,0.95,0.002300934811733978,0.002883384881966153,False,0.0023047600825075467,0.0028844732000490834,False,seed20
ecoevolity,0,0.09148800656374233,0.0715496266196597,0.9997732393605996,4000.0,0.95,0.06913304641140285,0.0735346983564133,False,0.06942357783621185,0.07374861247463423,False,seed153
starbeast,0,0.09148800656374233,0.07242044769734363,1.00071619903066,727.9510765858728,0.95,0.07080344628705476,0.07397870634960584,False,0.07084217354074446,0.07399641324481722,False,seed153
ecoevolity,0,0.052576259521158214,0.038020690657513206,1.0002602402706786,3740.8444504532185,0.95,0.035684155456746185,0.039725590245228135,False,0.035966938576855144,0.039906295391360695,False,seed145
starbeast,0,0.052576259521158214,0.03918475075273231,1.0008879973699791,531.3118481667317,0.95,0.038047939935180734,0.04027804492824293,False,0.0381112856742196,0.040329677032475614,False,seed145
ecoevolity,0,0.004536959349318047,0.0013011215158752287,1.0001965035547444,3950.3920286216176,0.95,0.0008029856207325005,0.0018377755545188512,False,0.0008015934665834425,0.0018317538621097028,False,seed71
starbeast,0,0.004536959349318047,0.0019183869136607868,1.0000043854363372,440.02857730350405,0.95,0.001658076455895159,0.0021768802224181945,False,0.0016573241240839338,0.0021749890660959065,False,seed71
ecoevolity,0,0.07864997666581916,0.0610002218504669,1.0000565633697351,4000.0,0.95,0.05872480444207294,0.06290862511977127,False,0.05888711939545719,0.06297271895618456,False,seed132
